[2026-07-02 11:07:01.385] [info] [0] yolo: 124.8ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:01.455] [info] [1] yolo: 11.0ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:01.467] [info] [2] yolo: 8.5ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:01.509] [info] [3] yolo: 7.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:01.551] [info] [4] yolo: 8.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:01.595] [info] [5] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:01.635] [info] [6] yolo: 5.9ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:07:01.676] [info] [7] yolo: 6.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:01.717] [info] [8] yolo: 7.9ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:01.761] [info] [9] yolo: 9.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:01.804] [info] [10] yolo: 8.6ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:01.844] [info] [11] yolo: 7.3ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:01.888] [info] [12] yolo: 9.5ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:01.933] [info] [13] yolo: 8.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:01.980] [info] [14] yolo: 10.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.023] [info] [15] yolo: 9.6ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:02.065] [info] [16] yolo: 6.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.110] [info] [17] yolo: 10.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.155] [info] [18] yolo: 9.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.196] [info] [19] yolo: 7.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.243] [info] [20] yolo: 9.0ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:02.284] [info] [21] yolo: 6.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.325] [info] [22] yolo: 8.0ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.371] [info] [23] yolo: 9.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.413] [info] [24] yolo: 8.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.460] [info] [25] yolo: 10.6ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:02.503] [info] [26] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.547] [info] [27] yolo: 9.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.592] [info] [28] yolo: 9.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.638] [info] [29] yolo: 9.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.682] [debug] [Target] r=0.044, l=0.000
[2026-07-02 11:07:02.682] [debug] [Tracker] Target diverged!
[2026-07-02 11:07:02.682] [info] [30] yolo: 8.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.727] [info] [31] yolo: 10.4ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:02.771] [info] [32] yolo: 9.7ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.816] [info] [33] yolo: 10.2ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:02.860] [info] [34] yolo: 10.3ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:02.903] [info] [35] yolo: 7.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.947] [info] [36] yolo: 9.2ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:02.987] [info] [37] yolo: 5.5ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:07:03.033] [info] [38] yolo: 9.9ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:03.081] [info] [39] yolo: 9.4ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:03.126] [info] [40] yolo: 8.7ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:03.171] [info] [41] yolo: 9.5ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:03.215] [info] [42] yolo: 10.8ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:03.259] [info] [43] yolo: 9.8ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:03.305] [info] [44] yolo: 9.7ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:03.350] [info] [45] yolo: 10.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:03.392] [info] [46] yolo: 8.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:03.432] [info] [47] yolo: 6.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:03.477] [info] [48] yolo: 5.5ms, tracker: 0.8ms, aimer: 0.0ms
[2026-07-02 11:07:03.524] [info] [49] yolo: 10.4ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:03.565] [info] [50] yolo: 6.6ms, tracker: 0.7ms, aimer: 0.0ms
[2026-07-02 11:07:03.608] [info] [51] yolo: 9.7ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:03.650] [info] [52] yolo: 8.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:03.689] [info] [53] yolo: 6.3ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:03.730] [info] [54] yolo: 5.0ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:03.774] [info] [55] yolo: 9.8ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:03.815] [info] [56] yolo: 6.1ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:07:03.858] [info] [57] yolo: 9.1ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:03.900] [info] [58] yolo: 9.6ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:03.938] [info] [59] yolo: 5.8ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:07:03.981] [info] [60] yolo: 7.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:04.023] [info] [61] yolo: 6.1ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:04.067] [debug] [Target] r=0.042, l=0.000
[2026-07-02 11:07:04.067] [debug] [Tracker] Target diverged!
[2026-07-02 11:07:04.067] [info] [62] yolo: 10.0ms, tracker: 0.4ms, aimer: 0.0ms
