[2026-07-22 18:59:16.615] [warning] [DesktopGimbal] NO-GIMBAL mode: visual detection only.
[2026-07-22 18:59:16.616] [info] [DesktopGimbal] Opening camera...
[2026-07-22 18:59:18.450] [info] [MultiThreadDetector] initialized !
[2026-07-22 18:59:18.452] [info] [DesktopGimbal] Entering main loop.
[2026-07-22 18:59:18.532] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.542] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.556] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.567] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.575] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.583] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.595] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.612] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.624] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.636] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.643] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.651] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.675] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.686] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.697] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.710] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.719] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.729] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.743] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.759] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.782] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.798] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.810] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.823] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.842] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.857] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.890] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.902] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.928] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.945] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.973] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:18.988] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.003] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.016] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.030] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.044] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.058] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.085] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.101] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.125] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.143] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.170] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.186] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.205] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.222] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.249] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.266] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.290] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.308] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.335] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.352] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.378] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.393] [debug] [MultiThreadDetector] queue is full!
[2026-07-22 18:59:19.419] [debug] [MultiThreadDetector] queue is full!
