[2026-07-22 21:22:55.010] [info] [DesktopGimbal] Opening gimbal serial...
[2026-07-22 21:22:55.010] [warning] [Gimbal] Configured com_port '/dev/gimbal' not found, fallback to '/dev/ttyUSB0'.
[2026-07-22 21:22:55.112] [info] [Gimbal] read_thread started.
[2026-07-22 21:22:55.112] [info] [Gimbal] First q received.
[2026-07-22 21:22:55.112] [info] [DesktopGimbal] Opening camera...
[2026-07-22 21:22:56.012] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:22:57.012] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:22:57.047] [info] [MultiThreadDetector] initialized !
[2026-07-22 21:22:57.048] [info] [DesktopGimbal] Entering main loop.
[2026-07-22 21:22:57.929] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:22:58.764] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:22:59.596] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:00.426] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:01.266] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:02.110] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:02.950] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:03.804] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:04.643] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:05.477] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:06.323] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:07.162] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:08.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:08.845] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:09.692] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:10.526] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:11.362] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:11.621] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:23:12.204] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:13.035] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:13.875] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:14.650] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:23:14.713] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:15.557] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:16.390] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:17.228] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:17.786] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:23:18.058] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:18.899] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:19.749] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:20.256] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:23:20.599] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:21.435] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:22.269] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:22.426] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:23:23.106] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:23.944] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:24.784] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:25.623] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:25.789] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:23:26.469] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:27.302] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:28.139] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:28.976] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:29.811] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:30.663] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:31.500] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:32.339] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:32.660] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:23:33.182] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:34.019] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:34.871] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:35.721] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:36.555] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:37.405] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:38.243] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:39.087] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:39.918] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:40.752] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:41.590] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:42.438] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:43.270] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:23:44.105] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
