[2026-07-22 21:54:59.982] [info] [DesktopGimbal] Opening gimbal serial...
[2026-07-22 21:54:59.982] [warning] [Gimbal] Configured com_port '/dev/gimbal' not found, fallback to '/dev/ttyUSB0'.
[2026-07-22 21:55:00.083] [info] [Gimbal] read_thread started.
[2026-07-22 21:55:00.083] [info] [Gimbal] First q received.
[2026-07-22 21:55:00.083] [info] [DesktopGimbal] Opening camera...
[2026-07-22 21:55:00.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:01.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:02.987] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:03.987] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:04.987] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:05.988] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:06.988] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:07.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:08.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:09.989] [info] [Gimbal] Diag: latency=0.01ms, serial_ok=yes
[2026-07-22 21:55:10.987] [info] [Gimbal] Diag: latency=0.01ms, serial_ok=yes
[2026-07-22 21:55:11.988] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:12.988] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:13.988] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:14.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:15.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:16.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:17.990] [info] [Gimbal] Diag: latency=0.03ms, serial_ok=yes
[2026-07-22 21:55:18.987] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:19.988] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:20.988] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:21.989] [info] [Gimbal] Diag: latency=0.02ms, serial_ok=yes
[2026-07-22 21:55:22.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:23.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:24.990] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:25.990] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:26.988] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:27.988] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:28.988] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:29.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:30.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:31.990] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:32.990] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:33.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:34.988] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:35.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:36.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:37.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:38.990] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:39.990] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:40.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:41.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:42.988] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:43.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:44.989] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:45.990] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:46.990] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:47.990] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:48.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:55:49.991] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
